rank,description,wracc,t_stat,size,coverage,mean_S,delta_csv,delta_recomp,ci_mean_lo,ci_mean_hi,ci_delta_lo,ci_delta_hi,pval_perm,qval_bh,significant_bh
2,"{""context_condition"": ""context_condition == disambig""}",0.026194005360815,4.338081468732446,2396,0.5,0.05249488790811467,0.05238801072163,0.052388010721630074,0.029948231060873298,0.07252100560122303,0.0298413538743887,0.07241412841473843,0.0004997501249375312,0.0007139287499107588,True
1,"{""context_condition"": ""context_condition == ambig""}",0.026194005360815,-4.338081468732447,2396,0.5,-0.0522811335351455,-0.05238801072163,-0.052388010721630095,-0.06958938439456493,-0.036763730359631444,-0.06969626158104952,-0.03687060754611604,0.0004997501249375312,0.0007139287499107588,True
3,"{""category"": ""category == Professional Roles & Workplace Competence""}",0.0249405336479082,4.55678694725644,2064,0.4307178631051753,0.05801144949306218,0.0579045723065775,0.057904572306577584,0.04010522328244866,0.0785504985352501,0.03999834609596406,0.07844362134876551,0.0004997501249375312,0.0007139287499107588,True
4,"{""context_length"": ""context_length == medium""}",0.0183000470358354,-5.027603320622319,1068,0.22287145242070117,-0.08200344621775095,-0.0821103234042355,-0.08211032340423555,-0.1092683716669506,-0.05662143612513934,-0.10937524885343519,-0.05672831331162394,0.0004997501249375312,0.0007139287499107588,True
5,"{""context_length"": ""context_length == long""}",0.0167714446566691,4.273090142258031,1212,0.25292153589315525,0.0664177375781997,0.0663108603917151,0.0663108603917151,0.04501329666303642,0.08792784660625158,0.04490641947655182,0.08782096941976698,0.0004997501249375312,0.0007139287499107588,True
7,"{""question_polarity"": ""question_polarity == neg""}",0.0134275868656238,2.223789945416174,2396,0.5,0.02696205091773221,0.0268551737312476,0.026855173731247614,0.008740871643438845,0.044242268881154574,0.00863399445695425,0.04413539169466998,0.0014992503748125937,0.0016658337497917708,True
6,"{""question_polarity"": ""question_polarity == nonneg""}",0.0134275868656238,-2.2237899454161756,2396,0.5,-0.026748296544763045,-0.0268551737312476,-0.026855173731247642,-0.046488552044135066,-0.006184299855597825,-0.04659542923061966,-0.00629117704208242,0.0014992503748125937,0.0016658337497917708,True
8,"{""category"": ""category == Violence & Aggression""}",0.0117557552378425,-3.735162053561605,832,0.17362270450751252,-0.067601751539166,-0.0677086287256506,-0.0677086287256506,-0.1025155752796709,-0.03175055233322675,-0.10262245246615549,-0.03185742951971135,0.0004997501249375312,0.0007139287499107588,True
9,"{""category"": ""category == Emotional Regulation & Mental Health""}",0.0112417667935496,-4.115199098413374,648,0.1352253756260434,-0.08302668218803655,-0.0831335593745211,-0.08313355937452115,-0.11259237710189046,-0.053042624002196975,-0.11269925428837506,-0.05314950118868157,0.0004997501249375312,0.0007139287499107588,True
10,"{""category"": ""category == Academic & Intellectual Abilities""}",0.0073801887213574,-2.3579443161257485,824,0.17195325542570952,-0.0428128611056818,-0.0429197382921663,-0.042919738292166394,-0.07571864688718032,-0.009286349937607354,-0.07582552407366491,-0.009393227124091949,0.006496751624187906,0.0064967516241879065,True
